Unreal -> Engine : 1.0, 1.97
Engine -> Unreal : 1.0, 1.56
kernel -> the : 1.0, 1.03
kernel -> linux : 1.0, 1.19
kernel -> Linux : 1.0, 1.16
http://t.co/k4wOhuzQCd -> Dynamic : 0.0, 0.91
Dynamic -> http://t.co/k4wOhuzQCd : 1.0, 1.68
Dynamic -> Weekly : 1.0, 1.03
Dynamic -> Daily : 1.0, 1.42
Dynamic -> Deployment : 1.0, 1.29
Dynamic -> HPUX : 2.0, 2.0
Dynamic -> Automated : 2.0, 2.0
Dynamic -> AIX : 2.0, 2.0
Dynamic -> Solaris : 2.0, 2.0
Dynamic -> Service : 2.0, 2.0
Dynamic -> Linux : 2.0, 2.0
an -> Linux : 1.0, 1.48
be -> to : 1.0, 1.29
Developer -> Linux : 1.0, 1.35
Installation -> Dynamic" : 0.0, 0.79
Dynamic" -> Installation : 1.0, 1.12
Dynamic" -> On-Demand : 1.0, 1.39
On-Demand -> Dynamic" : 0.0, 0.71
Self-Service -> Dynamic" : 0.0, 0.97
Dynamic" -> Self-Service : 2.0, 2.33
No-Contract -> Dynamic" : 0.0, 0.91
Dynamic" -> No-Contract : 2.0, 2.33
Dynamic" -> HPUX : 1.0, 1.97
Dynamic" -> Automated : 1.0, 1.97
Dynamic" -> AIX : 1.0, 1.97
Dynamic" -> Solaris : 1.0, 1.97
Dynamic" -> Service : 1.0, 1.97
Dynamic" -> Linux : 2.0, 2.0
programs -> XP : 1.0, 1.73
XP -> programs : 0.0, 0.67
Mint -> programs : 0.0, 0.64
programs -> Mint : 1.0, 1.97
programs -> Windows : 2.0, 2.0
programs -> for : 2.0, 2.0
programs -> Linux : 2.0, 2.48
Is -> Linux : 2.0, 2.31
Re: -> fedora : 0.0, 0.6
fedora -> Re: : 1.0, 1.77
fedora -> in : 1.0, 1.09
fedora -> linux : 2.0, 2.0
http://t.co/PEJSpCu8jR -> Dynamic-Config : 0.0, 0.83
Dynamic-Config -> http://t.co/PEJSpCu8jR : 0.0, 0.97
Dynamic-Config -> Weekly : 0.0, 0.86
Dynamic-Config -> No-Contract : 1.0, 1.14
Daily -> Dynamic-Config : 0.0, 0.64
Dynamic-Config -> Daily : 1.0, 1.77
Deployment -> Dynamic-Config : 0.0, 0.69
Dynamic-Config -> Deployment : 2.0, 2.0
Dynamic-Config -> HPUX : 2.0, 2.0
Dynamic-Config -> Automated : 2.0, 2.0
Dynamic-Config -> AIX : 2.0, 2.0
Dynamic-Config -> Solaris : 2.0, 2.0
Dynamic-Config -> Service : 2.0, 2.0
Dynamic-Config -> Linux : 2.0, 2.0
un -> con : 0.0, 0.63
con -> un : 0.0, 0.91
con -> en : 1.0, 1.09
con -> Linux : 0.0, 0.86
'I'm -> code' : 1.0, 1.6
code' -> 'I'm : 1.0, 1.97
rails -> code' : 1.0, 1.53
code' -> rails : 1.0, 1.97
developer: -> code' : 1.0, 1.53
code' -> developer: : 1.0, 1.97
tired -> code' : 1.0, 1.53
code' -> tired : 1.0, 1.97
f*cking -> code' : 1.0, 1.47
code' -> f*cking : 1.0, 1.97
your -> code' : 0.0, 0.83
code' -> your : 1.0, 1.97
at -> code' : 0.0, 0.62
code' -> at : 1.0, 1.97
code' -> Torvalds : 2.0, 2.0
code' -> of : 2.0, 2.0
code' -> Linux : 2.0, 2.0
Fat -> The : 1.0, 1.31
Fat -> of : 1.0, 1.37
Fat -> linux : 1.0, 1.03
my -> in : 0.0, 0.81
my -> to : 1.0, 1.24
OS -> Linux : 1.0, 1.03
it -> to : 1.0, 1.23
it -> and : 1.0, 1.13
Entry-Level -> Mining : 1.0, 1.97
Mining -> Entry-Level : 1.0, 1.97
Entry-Level -> Gear : 1.0, 1.97
Gear -> Entry-Level : 1.0, 1.88
Entry-Level -> Mac, : 1.0, 1.97
Mac, -> Entry-Level : 1.0, 1.88
Entry-Level -> Bitcoin : 1.0, 1.97
Bitcoin -> Entry-Level : 1.0, 1.71
Entry-Level -> Windows, : 1.0, 1.97
Windows, -> Entry-Level : 1.0, 1.57
Entry-Level -> for : 1.0, 1.97
Entry-Level -> and : 1.0, 1.97
Entry-Level -> Linux : 2.0, 2.0
Mining -> Gear : 1.0, 1.97
Gear -> Mining : 1.0, 1.88
Mining -> Mac, : 1.0, 1.97
Mac, -> Mining : 1.0, 1.88
Bitcoin -> Mining : 1.0, 1.71
Mining -> Bitcoin : 1.0, 1.97
Mining -> Windows, : 1.0, 1.97
Windows, -> Mining : 1.0, 1.57
Mining -> for : 1.0, 1.97
Mining -> and : 1.0, 1.97
Mining -> Linux : 2.0, 2.0
jobs -> linux : 1.0, 1.18
Gear -> Mac, : 1.0, 1.88
Mac, -> Gear : 1.0, 1.88
Bitcoin -> Gear : 1.0, 1.71
Gear -> Bitcoin : 1.0, 1.88
Gear -> Windows, : 1.0, 1.88
Windows, -> Gear : 1.0, 1.57
Gear -> for : 1.0, 1.88
Gear -> and : 1.0, 1.88
Gear -> Linux : 1.0, 1.9
Bitcoin -> Mac, : 1.0, 1.71
Mac, -> Bitcoin : 1.0, 1.88
Mac, -> Windows, : 1.0, 1.88
Windows, -> Mac, : 1.0, 1.57
Mac, -> for : 1.0, 1.88
Mac, -> and : 1.0, 1.98
Mac, -> Linux : 2.0, 2.0
you -> to : 0.0, 0.73
you -> Linux : 0.0, 0.78
ARM: -> arm : 1.0, 1.85
arm -> ARM: : 0.0, 0.89
[PATCH -> ARM: : 0.0, 0.76
ARM: -> [PATCH : 1.0, 1.88
ARM: -> Re: : 0.0, 0.9
ARM: -> the : 1.0, 1.07
ARM: -> linux : 1.0, 1.98
Monthly -> http://t.co/PEJSpCu8jR : 0.0, 0.68
http://t.co/PEJSpCu8jR -> Monthly : 0.0, 0.88
Weekly -> http://t.co/PEJSpCu8jR : 0.0, 0.68
http://t.co/PEJSpCu8jR -> Weekly : 1.0, 1.17
http://t.co/PEJSpCu8jR -> Self-Service : 1.0, 1.12
http://t.co/PEJSpCu8jR -> No-Contract : 1.0, 1.22
http://t.co/PEJSpCu8jR -> Daily : 1.0, 1.27
Deployment -> http://t.co/PEJSpCu8jR : 0.0, 0.8
http://t.co/PEJSpCu8jR -> Deployment : 1.0, 1.98
http://t.co/PEJSpCu8jR -> HPUX : 2.0, 2.0
http://t.co/PEJSpCu8jR -> Automated : 2.0, 2.0
http://t.co/PEJSpCu8jR -> AIX : 2.0, 2.0
http://t.co/PEJSpCu8jR -> Solaris : 2.0, 2.0
http://t.co/PEJSpCu8jR -> Service : 2.0, 2.0
http://t.co/PEJSpCu8jR -> Linux : 2.0, 2.0
